outlet_id,file_name,rank,suspicion_score,flagged,kind,consensus,z,reason
outlet_003a29a9,image_0004.jpg,1,0.1759,0,scored,0.426,-2.01,
outlet_003a29a9,image_0008.jpg,2,0.0975,0,scored,0.260,-4.85,
outlet_003a29a9,image_0001.jpg,3,0.0920,0,scored,0.243,-5.13,
outlet_003a29a9,image_0002.jpg,4,0.0797,0,scored,0.543,0.00,
outlet_003a29a9,image_0007.jpg,5,0.0797,0,scored,0.543,0.00,
outlet_003a29a9,image_0003.jpg,6,0.0762,0,scored,0.550,0.13,
outlet_003a29a9,image_0006.jpg,7,0.0674,0,scored,0.570,0.46,
outlet_003a29a9,image_0005.jpg,8,0.0546,0,scored,0.594,0.89,
outlet_004449c0,image_0003.jpg,1,0.1238,0,scored,0.470,-2.40,
outlet_004449c0,image_0004.jpg,2,0.1174,0,scored,0.478,-2.31,
outlet_004449c0,image_0002.jpg,3,0.1048,0,scored,0.497,-2.11,
outlet_004449c0,image_0005.jpg,4,0.0160,0,scored,0.676,-0.16,
outlet_004449c0,image_0009.jpg,5,0.0157,0,scored,0.677,-0.15,
outlet_004449c0,image_0001.jpg,6,0.0101,0,scored,0.704,0.15,
outlet_004449c0,image_0010.jpg,7,0.0101,0,scored,0.704,0.15,
outlet_004449c0,image_0008.jpg,8,0.0070,0,scored,0.728,0.41,
outlet_004449c0,image_0006.jpg,9,0.0034,0,scored,0.776,0.94,
outlet_004449c0,image_0007.jpg,10,0.0025,0,scored,0.793,1.12,
outlet_01e0d230,image_0009.jpg,1,0.2367,0,scored,0.299,-5.47,
outlet_01e0d230,image_0010.jpg,2,0.0806,0,scored,0.541,-2.15,
outlet_01e0d230,image_0005.jpg,3,0.0552,0,scored,0.593,-1.43,
outlet_01e0d230,image_0017.jpg,4,0.0539,0,scored,0.596,-1.39,
outlet_01e0d230,image_0007.jpg,5,0.0403,0,scored,0.620,-1.06,
outlet_01e0d230,image_0002.jpg,6,0.0159,0,scored,0.676,-0.28,
outlet_01e0d230,image_0008.jpg,7,0.0149,0,scored,0.680,-0.23,
outlet_01e0d230,image_0004.jpg,8,0.0113,0,scored,0.697,0.00,
outlet_01e0d230,image_0001.jpg,9,0.0104,0,scored,0.702,0.07,
outlet_01e0d230,image_0015.jpg,10,0.0096,0,scored,0.707,0.14,
outlet_01e0d230,image_0013.jpg,11,0.0084,0,scored,0.716,0.26,
outlet_01e0d230,image_0012.jpg,12,0.0070,0,scored,0.729,0.44,
outlet_01e0d230,image_0016.jpg,13,0.0069,0,scored,0.730,0.46,
outlet_01e0d230,image_0006.jpg,14,0.0054,0,scored,0.746,0.67,
outlet_01e0d230,image_0003.jpg,15,0.0038,0,scored,0.393,-4.18,
outlet_01e0d230,image_0011.jpg,16,0.0038,0,scored,0.769,1.00,
outlet_01e0d230,image_0014.jpg,17,0.0029,0,scored,0.786,1.22,
outlet_0280ccb5,image_0011.jpg,1,0.3000,1,duplicate,nan,nan,Identical copy of image_0010.jpg (content hash match); duplicate submission adds no new evidence of a visit.
outlet_0280ccb5,image_0030.jpg,2,0.3000,1,duplicate,nan,nan,Identical copy of image_0029.jpg (content hash match); duplicate submission adds no new evidence of a visit.
outlet_0280ccb5,image_0032.jpg,3,0.3000,1,duplicate,nan,nan,Identical copy of image_0031.jpg (content hash match); duplicate submission adds no new evidence of a visit.
outlet_0280ccb5,image_0015.jpg,4,0.0430,0,scored,0.615,-2.25,
outlet_0280ccb5,image_0009.jpg,5,0.0230,0,scored,0.655,-1.70,
outlet_0280ccb5,image_0010.jpg,6,0.0165,0,scored,0.674,-1.44,
outlet_0280ccb5,image_0008.jpg,7,0.0131,0,scored,0.688,-1.25,
outlet_0280ccb5,image_0006.jpg,8,0.0118,0,scored,0.694,-1.17,
outlet_0280ccb5,image_0012.jpg,9,0.0100,0,scored,0.705,-1.02,
outlet_0280ccb5,image_0027.jpg,10,0.0085,0,scored,0.715,-0.88,
outlet_0280ccb5,image_0031.jpg,11,0.0072,0,scored,0.579,-2.74,
outlet_0280ccb5,image_0023.jpg,12,0.0061,0,scored,0.738,-0.58,
outlet_0280ccb5,image_0026.jpg,13,0.0061,0,scored,0.739,-0.56,
outlet_0280ccb5,image_0025.jpg,14,0.0058,0,scored,0.741,-0.53,
outlet_0280ccb5,image_0007.jpg,15,0.0044,0,scored,0.761,-0.26,
outlet_0280ccb5,image_0013.jpg,16,0.0032,0,scored,0.780,0.00,
outlet_0280ccb5,image_0029.jpg,17,0.0032,0,scored,0.780,0.01,
outlet_0280ccb5,image_0004.jpg,18,0.0025,0,scored,0.795,0.20,
outlet_0280ccb5,image_0028.jpg,19,0.0022,0,scored,0.801,0.29,
outlet_0280ccb5,image_0003.jpg,20,0.0022,0,scored,0.801,0.29,
outlet_0280ccb5,image_0017.jpg,21,0.0021,0,scored,0.803,0.31,
outlet_0280ccb5,image_0005.jpg,22,0.0021,0,scored,0.803,0.32,
outlet_0280ccb5,image_0018.jpg,23,0.0018,0,scored,0.812,0.43,
outlet_0280ccb5,image_0014.jpg,24,0.0016,0,scored,0.819,0.54,
outlet_0280ccb5,image_0021.jpg,25,0.0014,0,scored,0.825,0.61,
outlet_0280ccb5,image_0020.jpg,26,0.0013,0,scored,0.829,0.67,
outlet_0280ccb5,image_0024.jpg,27,0.0013,0,scored,0.830,0.68,
outlet_0280ccb5,image_0019.jpg,28,0.0012,0,scored,0.832,0.71,
outlet_0280ccb5,image_0001.jpg,29,0.0009,0,scored,0.846,0.90,
outlet_0280ccb5,image_0022.jpg,30,0.0008,0,scored,0.853,1.00,
outlet_0280ccb5,image_0016.jpg,31,0.0000,0,scored,0.587,-2.63,
outlet_0280ccb5,image_0002.jpg,32,0.0000,0,scored,0.554,-3.07,
outlet_04473281,image_0001_1.jpg,1,0.6968,1,scored,0.384,-10.12,Median similarity to peers 0.38 vs folder median 0.77 (modified z = -10.1; absolute floor 0.27). Scene reads as 'restaurant' while 6/12 peers read as 'closed shutter'. Signage text '018_' shares 0/1 tokens with outlet signage ('৭১৬ | সকল | ১৬৯৩১৯'). No geometric match to nearest peers (max 8 SIFT inliers).
outlet_04473281,image_0002_1.jpg,2,0.6764,1,scored,0.403,-9.62,"Median similarity to peers 0.40 vs folder median 0.77 (modified z = -9.6; absolute floor 0.27). Scene reads as 'shop interior' while 6/12 peers read as 'closed shutter'. No readable signage text, while peers show '৭১৬ | সকল | ১৬৯৩১৯'. No geometric match to nearest peers (max 8 SIFT inliers)."
outlet_04473281,image_0007.jpg,3,0.0143,0,scored,0.683,-2.29,
outlet_04473281,image_0008.jpg,4,0.0097,0,scored,0.707,-1.66,
outlet_04473281,image_0009.jpg,5,0.0065,0,scored,0.734,-0.95,
outlet_04473281,image_0003.jpg,6,0.0060,0,scored,0.740,-0.79,
outlet_04473281,image_0010.jpg,7,0.0038,0,scored,0.770,0.00,
outlet_04473281,image_0011.jpg,8,0.0036,0,scored,0.773,0.09,
outlet_04473281,image_0004.jpg,9,0.0035,0,scored,0.774,0.10,
outlet_04473281,image_0005.jpg,10,0.0032,0,scored,0.780,0.26,
outlet_04473281,image_0006.jpg,11,0.0030,0,scored,0.784,0.37,
outlet_04473281,image_0002.jpg,12,0.0028,0,scored,0.788,0.48,
outlet_04473281,image_0001.jpg,13,0.0024,0,scored,0.795,0.67,
outlet_045f93b1,image_0002_1.jpg,1,0.7755,1,scored,0.277,-12.48,Median similarity to peers 0.28 vs folder median 0.81 (modified z = -12.5; absolute floor 0.27). Scene reads as 'closed shutter' while 9/16 peers read as 'storefront'. Signage text 'ষ্োর | ভ্যারাইতিজ  | :01987-778715|' shares 0/4 tokens with outlet signage ('১৪৯০ | রবি | রবি'). No geometric match to nearest peers (max 7 SIFT inliers).
outlet_045f93b1,image_0001_1.jpg,2,0.4502,1,scored,0.518,-6.82,"Median similarity to peers 0.52 vs folder median 0.81 (modified z = -6.8; absolute floor 0.27). Same scene type as peers ('storefront') but not the same place. No readable signage text, while peers show '১৪৯০ | রবি | রবি'. No geometric match to nearest peers (max 6 SIFT inliers)."
outlet_045f93b1,image_0003.jpg,3,0.2733,0,scored,0.242,-13.28,
outlet_045f93b1,image_0002.jpg,4,0.0051,0,scored,0.750,-1.36,
outlet_045f93b1,image_0001.jpg,5,0.0034,0,scored,0.775,-0.76,
outlet_045f93b1,image_0007.jpg,6,0.0028,0,scored,0.788,-0.47,
outlet_045f93b1,image_0014.jpg,7,0.0025,0,scored,0.794,-0.32,
outlet_045f93b1,image_0004.jpg,8,0.0019,0,scored,0.808,0.00,
outlet_045f93b1,image_0011.jpg,9,0.0019,0,scored,0.810,0.04,
outlet_045f93b1,image_0006.jpg,10,0.0018,0,scored,0.812,0.08,
outlet_045f93b1,image_0015.jpg,11,0.0016,0,scored,0.818,0.23,
outlet_045f93b1,image_0005.jpg,12,0.0014,0,scored,0.826,0.42,
outlet_045f93b1,image_0008.jpg,13,0.0012,0,scored,0.833,0.58,
outlet_045f93b1,image_0010.jpg,14,0.0011,0,scored,0.837,0.67,
outlet_045f93b1,image_0012.jpg,15,0.0011,0,scored,0.839,0.72,
outlet_045f93b1,image_0009.jpg,16,0.0009,0,scored,0.845,0.87,
outlet_045f93b1,image_0013.jpg,17,0.0000,0,scored,0.600,-4.89,
outlet_055c59bd,image_0003.jpg,1,0.0455,0,scored,0.611,-1.47,
outlet_055c59bd,image_0001.jpg,2,0.0174,0,scored,0.671,-0.77,
outlet_055c59bd,image_0002.jpg,3,0.0151,0,scored,0.679,-0.67,
outlet_055c59bd,image_0009.jpg,4,0.0062,0,scored,0.737,-0.01,
outlet_055c59bd,image_0007.jpg,5,0.0061,0,scored,0.738,0.00,
outlet_055c59bd,image_0008.jpg,6,0.0051,0,scored,0.750,0.15,
outlet_055c59bd,image_0004.jpg,7,0.0024,0,scored,0.795,0.67,
outlet_055c59bd,image_0006.jpg,8,0.0023,0,scored,0.798,0.69,
outlet_055c59bd,image_0005.jpg,9,0.0016,0,scored,0.818,0.93,
