outlet_id,total_images,n_flagged,flagged_images,ranking,folder_median_consensus,review_folder
outlet_003a29a9,8,1,"[{""file_name"": ""image_0001.jpg"", ""suspicion_score"": 0.6258, ""reason"": ""Median similarity to peers 0.24 vs folder median 0.54 (modified z = -5.1; absolute floor 0.27). Scene reads as 'closed shutter' while 4/7 peers read as 'storefront'. Signage text 'চার্জ হাজারে | কাশ | v৫০ হাজার পর্যন্ত' shares 6/11 tokens with outlet signage ('সুবিধা | IRT | ১৪৯৫'). No geometric match to nearest peers (max 15 SIFT inliers).""}]","[""image_0001.jpg"", ""image_0004.jpg"", ""image_0008.jpg"", ""image_0002.jpg"", ""image_0007.jpg"", ""image_0003.jpg"", ""image_0006.jpg"", ""image_0005.jpg""]",0.543,0
outlet_004449c0,10,0,[],"[""image_0003.jpg"", ""image_0004.jpg"", ""image_0002.jpg"", ""image_0005.jpg"", ""image_0009.jpg"", ""image_0001.jpg"", ""image_0010.jpg"", ""image_0008.jpg"", ""image_0006.jpg"", ""image_0007.jpg""]",0.691,0
outlet_01e0d230,17,0,[],"[""image_0009.jpg"", ""image_0010.jpg"", ""image_0005.jpg"", ""image_0017.jpg"", ""image_0007.jpg"", ""image_0002.jpg"", ""image_0008.jpg"", ""image_0004.jpg"", ""image_0001.jpg"", ""image_0015.jpg"", ""image_0013.jpg"", ""image_0012.jpg"", ""image_0016.jpg"", ""image_0006.jpg"", ""image_0003.jpg"", ""image_0011.jpg"", ""image_0014.jpg""]",0.697,0
outlet_0280ccb5,32,3,"[{""file_name"": ""image_0011.jpg"", ""suspicion_score"": 0.3, ""reason"": ""Identical copy of image_0010.jpg (content hash match); duplicate submission adds no new evidence of a visit.""}, {""file_name"": ""image_0030.jpg"", ""suspicion_score"": 0.3, ""reason"": ""Identical copy of image_0029.jpg (content hash match); duplicate submission adds no new evidence of a visit.""}, {""file_name"": ""image_0032.jpg"", ""suspicion_score"": 0.3, ""reason"": ""Identical copy of image_0031.jpg (content hash match); duplicate submission adds no new evidence of a visit.""}]","[""image_0011.jpg"", ""image_0030.jpg"", ""image_0032.jpg"", ""image_0015.jpg"", ""image_0009.jpg"", ""image_0010.jpg"", ""image_0008.jpg"", ""image_0006.jpg"", ""image_0012.jpg"", ""image_0027.jpg"", ""image_0031.jpg"", ""image_0023.jpg"", ""image_0026.jpg"", ""image_0025.jpg"", ""image_0007.jpg"", ""image_0013.jpg"", ""image_0029.jpg"", ""image_0004.jpg"", ""image_0028.jpg"", ""image_0003.jpg"", ""image_0017.jpg"", ""image_0005.jpg"", ""image_0018.jpg"", ""image_0014.jpg"", ""image_0021.jpg"", ""image_0020.jpg"", ""image_0024.jpg"", ""image_0019.jpg"", ""image_0001.jpg"", ""image_0022.jpg"", ""image_0016.jpg"", ""image_0002.jpg""]",0.78,0
outlet_04473281,13,2,"[{""file_name"": ""image_0001_1.jpg"", ""suspicion_score"": 0.6968, ""reason"": ""Median similarity to peers 0.38 vs folder median 0.77 (modified z = -10.1; absolute floor 0.27). Scene reads as 'restaurant' while 6/12 peers read as 'closed shutter'. Signage text '018_' shares 0/1 tokens with outlet signage ('৭১৬ | সকল | ১৬৯৩১৯'). No geometric match to nearest peers (max 8 SIFT inliers).""}, {""file_name"": ""image_0002_1.jpg"", ""suspicion_score"": 0.6829, ""reason"": ""Median similarity to peers 0.40 vs folder median 0.77 (modified z = -9.6; absolute floor 0.27). Scene reads as 'shop interior' while 6/12 peers read as 'closed shutter'. No readable signage text, while peers show '৭১৬ | সকল | ১৬৯৩১৯'. No geometric match to nearest peers (max 6 SIFT inliers).""}]","[""image_0001_1.jpg"", ""image_0002_1.jpg"", ""image_0007.jpg"", ""image_0008.jpg"", ""image_0009.jpg"", ""image_0003.jpg"", ""image_0010.jpg"", ""image_0011.jpg"", ""image_0004.jpg"", ""image_0005.jpg"", ""image_0006.jpg"", ""image_0002.jpg"", ""image_0001.jpg""]",0.77,0
outlet_045f93b1,17,2,"[{""file_name"": ""image_0002_1.jpg"", ""suspicion_score"": 0.7755, ""reason"": ""Median similarity to peers 0.28 vs folder median 0.81 (modified z = -12.5; absolute floor 0.27). Scene reads as 'closed shutter' while 9/16 peers read as 'storefront'. Signage text 'ষ্োর | ভ্যারাইতিজ  | :01987-778715|' shares 0/4 tokens with outlet signage ('১৪৯০ | রবি | রবি'). No geometric match to nearest peers (max 7 SIFT inliers).""}, {""file_name"": ""image_0001_1.jpg"", ""suspicion_score"": 0.4502, ""reason"": ""Median similarity to peers 0.52 vs folder median 0.81 (modified z = -6.8; absolute floor 0.27). Same scene type as peers ('storefront') but not the same place. No readable signage text, while peers show '১৪৯০ | রবি | রবি'. No geometric match to nearest peers (max 6 SIFT inliers).""}]","[""image_0002_1.jpg"", ""image_0001_1.jpg"", ""image_0003.jpg"", ""image_0002.jpg"", ""image_0001.jpg"", ""image_0007.jpg"", ""image_0014.jpg"", ""image_0004.jpg"", ""image_0011.jpg"", ""image_0006.jpg"", ""image_0015.jpg"", ""image_0005.jpg"", ""image_0008.jpg"", ""image_0010.jpg"", ""image_0012.jpg"", ""image_0009.jpg"", ""image_0013.jpg""]",0.808,0
outlet_055c59bd,9,0,[],"[""image_0003.jpg"", ""image_0001.jpg"", ""image_0002.jpg"", ""image_0009.jpg"", ""image_0007.jpg"", ""image_0008.jpg"", ""image_0004.jpg"", ""image_0006.jpg"", ""image_0005.jpg""]",0.738,0
outlet_083cd34a,9,1,"[{""file_name"": ""image_0009.jpg"", ""suspicion_score"": 0.6948, ""reason"": ""Median similarity to peers 0.20 vs folder median 0.35 (modified z = -2.5; absolute floor 0.27). Same scene type as peers ('closed shutter') but not the same place. No geometric match to nearest peers (max 4 SIFT inliers). 2 other images in this folder resemble it (median similarity 0.74) but none of them matches the rest of the folder either: a coherent group that is foreign as a whole.""}]","[""image_0009.jpg"", ""image_0002.jpg"", ""image_0008.jpg"", ""image_0001.jpg"", ""image_0006.jpg"", ""image_0003.jpg"", ""image_0004.jpg"", ""image_0007.jpg"", ""image_0005.jpg""]",0.354,1
outlet_08e8ac70,15,0,[],"[""image_0003.jpg"", ""image_0002.jpg"", ""image_0001.jpg"", ""image_0013.jpg"", ""image_0012.jpg"", ""image_0011.jpg"", ""image_0015.jpg"", ""image_0010.jpg"", ""image_0007.jpg"", ""image_0008.jpg"", ""image_0005.jpg"", ""image_0014.jpg"", ""image_0009.jpg"", ""image_0006.jpg"", ""image_0004.jpg""]",0.771,0
outlet_0a2befe6,13,0,[],"[""image_0003.jpg"", ""image_0009.jpg"", ""image_0007.jpg"", ""image_0001.jpg"", ""image_0005.jpg"", ""image_0010.jpg"", ""image_0008.jpg"", ""image_0013.jpg"", ""image_0011.jpg"", ""image_0002.jpg"", ""image_0012.jpg"", ""image_0006.jpg"", ""image_0004.jpg""]",0.67,0
outlet_0af952cd,12,0,[],"[""image_0009.jpg"", ""image_0011.jpg"", ""image_0012.jpg"", ""image_0005.jpg"", ""image_0002.jpg"", ""image_0007.jpg"", ""image_0010.jpg"", ""image_0001.jpg"", ""image_0008.jpg"", ""image_0006.jpg"", ""image_0004.jpg"", ""image_0003.jpg""]",0.787,0
outlet_0c0e85b4,11,1,"[{""file_name"": ""image_0001.jpg"", ""suspicion_score"": 0.7904, ""reason"": ""Median similarity to peers 0.15 vs folder median 0.74 (modified z = -13.4; absolute floor 0.27). Same scene type as peers ('closed shutter') but not the same place. No readable signage text, while peers show '১৪৯০ | সিম | ইন্টারনেট'. No geometric match to nearest peers (max 0 SIFT inliers).""}]","[""image_0001.jpg"", ""image_0008.jpg"", ""image_0007.jpg"", ""image_0003.jpg"", ""image_0006.jpg"", ""image_0009.jpg"", ""image_0010.jpg"", ""image_0002.jpg"", ""image_0004.jpg"", ""image_0011.jpg"", ""image_0005.jpg""]",0.739,0
outlet_108e6eab,21,2,"[{""file_name"": ""image_0019.jpg"", ""suspicion_score"": 0.5841, ""reason"": ""Median similarity to peers 0.26 vs folder median 0.80 (modified z = -11.4; absolute floor 0.27). Scene reads as 'closed shutter' while 19/20 peers read as 'storefront'. Signage text 'পটুয়াখালী পল্লী ফিস | নগদ | আট' shares 3/6 tokens with outlet signage ('^715-6 | মোঃ | মোঃ'). No geometric match to nearest peers (max 18 SIFT inliers).""}, {""file_name"": ""image_0016.jpg"", ""suspicion_score"": 0.4291, ""reason"": ""Median similarity to peers 0.31 vs folder median 0.80 (modified z = -10.3; absolute floor 0.27). Scene reads as 'closed shutter' while 19/20 peers read as 'storefront'. Signage text 'চাজ | ফ্রি | পটুয়াখালী পল্লী ফিস' shares 3/12 tokens with outlet signage ('^715-6 | মোঃ | মোঃ'). No geometric match to nearest peers (max 23 SIFT inliers).""}]","[""image_0019.jpg"", ""image_0016.jpg"", ""image_0018.jpg"", ""image_0011.jpg"", ""image_0021.jpg"", ""image_0020.jpg"", ""image_0005.jpg"", ""image_0012.jpg"", ""image_0009.jpg"", ""image_0008.jpg"", ""image_0002.jpg"", ""image_0013.jpg"", ""image_0004.jpg"", ""image_0001.jpg"", ""image_0003.jpg"", ""image_0010.jpg"", ""image_0015.jpg"", ""image_0014.jpg"", ""image_0007.jpg"", ""image_0017.jpg"", ""image_0006.jpg""]",0.796,0
outlet_10c7ca00,17,1,"[{""file_name"": ""image_0013.jpg"", ""suspicion_score"": 0.5001, ""reason"": ""Median similarity to peers 0.44 vs folder median 0.72 (modified z = -6.0; absolute floor 0.27). Scene reads as 'street scene' while 8/16 peers read as 'closed shutter'. Signage text 'PELOA | @UAD)' shares 0/2 tokens with outlet signage ('40 | OFFER | 40%'). No geometric match to nearest peers (max 10 SIFT inliers).""}]","[""image_0013.jpg"", ""image_0005.jpg"", ""image_0009.jpg"", ""image_0014.jpg"", ""image_0017.jpg"", ""image_0012.jpg"", ""image_0006.jpg"", ""image_0010.jpg"", ""image_0003.jpg"", ""image_0016.jpg"", ""image_0011.jpg"", ""image_0008.jpg"", ""image_0007.jpg"", ""image_0001.jpg"", ""image_0015.jpg"", ""image_0004.jpg"", ""image_0002.jpg""]",0.716,0
outlet_11da187e,5,0,[],"[""image_0002_1.jpg"", ""image_0003.jpg"", ""image_0001_1.jpg"", ""image_0001.jpg"", ""image_0002.jpg""]",0.571,0
outlet_146ab59b,26,3,"[{""file_name"": ""image_0008.jpg"", ""suspicion_score"": 0.3, ""reason"": ""Identical copy of image_0007.jpg (content hash match); duplicate submission adds no new evidence of a visit.""}, {""file_name"": ""image_0009.jpg"", ""suspicion_score"": 0.3, ""reason"": ""Identical copy of image_0007.jpg (content hash match); duplicate submission adds no new evidence of a visit.""}, {""file_name"": ""image_0010.jpg"", ""suspicion_score"": 0.3, ""reason"": ""Identical copy of image_0007.jpg (content hash match); duplicate submission adds no new evidence of a visit.""}]","[""image_0008.jpg"", ""image_0009.jpg"", ""image_0010.jpg"", ""image_0021.jpg"", ""image_0012.jpg"", ""image_0016.jpg"", ""image_0022.jpg"", ""image_0014.jpg"", ""image_0018.jpg"", ""image_0019.jpg"", ""image_0020.jpg"", ""image_0013.jpg"", ""image_0017.jpg"", ""image_0007.jpg"", ""image_0024.jpg"", ""image_0026.jpg"", ""image_0003.jpg"", ""image_0004.jpg"", ""image_0011.jpg"", ""image_0023.jpg"", ""image_0001.jpg"", ""image_0006.jpg"", ""image_0005.jpg"", ""image_0002.jpg"", ""image_0015.jpg"", ""image_0025.jpg""]",0.799,0
outlet_16412021,5,1,"[{""file_name"": ""image_0004.jpg"", ""suspicion_score"": 0.7129, ""reason"": ""Median similarity to peers 0.37 vs folder median 0.64 (modified z = -3.2; absolute floor 0.27). Scene reads as 'shop interior' while 2/4 peers read as 'storefront'. Signage text 'ফার্মে | করস' shares 0/2 tokens with outlet signage ('PRIVE | ফার্মেসী | ফার্মেসী'). No geometric match to nearest peers (max 7 SIFT inliers).""}]","[""image_0004.jpg"", ""image_0005.jpg"", ""image_0003.jpg"", ""image_0002.jpg"", ""image_0001.jpg""]",0.635,0
outlet_176ee853,14,1,"[{""file_name"": ""image_0014.jpg"", ""suspicion_score"": 0.3, ""reason"": ""Identical copy of image_0013.jpg (content hash match); duplicate submission adds no new evidence of a visit.""}]","[""image_0014.jpg"", ""image_0009.jpg"", ""image_0008.jpg"", ""image_0011.jpg"", ""image_0006.jpg"", ""image_0001.jpg"", ""image_0013.jpg"", ""image_0005.jpg"", ""image_0002.jpg"", ""image_0010.jpg"", ""image_0003.jpg"", ""image_0004.jpg"", ""image_0012.jpg"", ""image_0007.jpg""]",0.717,0
